bufSize,index,duration_us,bytes,throughput_MB_s
1024,0,573787,1073468224,1784.18
1024,1,26753,1073586304,38270.50
1024,2,6099,1073500864,167859.00
1024,3,6195,1073380544,165239.00
1024,4,5482,1073461696,186744.00
1024,5,5686,1073310848,180019.00
1024,6,111057,1073671232,9219.88
1024,7,6383,1073546560,160397.00
1024,8,118824,1073257088,8613.90
1024,9,7087,1073633216,144475.00
1024,10,4935,1073343232,207420.00
1024,11,5080,1073240000,201481.00
1024,12,90474,1073435840,11314.90
1024,13,100011,1073316992,10234.80
1024,14,94099,1073627136,10881.00
1024,15,118059,1073440640,8671.20
1024,16,97388,1073464064,10511.90
1024,17,118294,1073280832,8652.68
1024,18,100586,884337088,8384.56
1024,0,207570,0,
1024,0,142,0,
1024,0,2498,0,
1024,1,239,0,
1024,2,739,0,
1024,3,104,0,
1024,4,2713,0,
1024,5,62,0,
1024,6,3306,0,
1024,7,4484,0,
1024,8,7358,0,
1024,9,218,0,
1024,10,549,0,
1024,11,145,0,
1024,12,96,0,
1024,13,224,0,
1024,14,253,0,
1024,15,226,0,
1024,16,233,0,
1024,17,273,0,
1024,18,265,0,
2048,0,574780,2147054528,3562.39
2048,1,27245,2146881152,75148.70
2048,2,11712,2146772480,174805.00
2048,3,11362,2147217600,180228.00
2048,4,11979,2146890176,170919.00
2048,5,11460,2146583104,178634.00
2048,6,12889,2146752640,158841.00
2048,7,11374,2147067712,180025.00
2048,8,221130,2146744832,9258.33
2048,9,4475,884337088,188462.00
2048,0,204845,0,
2048,0,61,0,
2048,0,2127,0,
2048,1,92,0,
2048,2,1261,0,
2048,3,76,0,
2048,4,3018,0,
2048,5,62,0,
2048,6,86,0,
2048,7,210938,0,
2048,8,7973,0,
2048,9,169,0,
4096,0,538340,4293935552,7606.75
4096,1,32454,4293990016,126181.00
4096,2,22443,4293473088,182443.00
4096,3,24072,4293820096,170111.00
4096,4,15802,3031081664,182930.00
4096,0,192275,0,
4096,0,73,0,
4096,0,3898,0,
4096,1,79,0,
4096,2,426,0,
4096,3,550,0,
4096,4,3512,0,
512,0,570877,536777088,896.71
512,1,27424,536691456,18663.50
512,2,3508,536857856,145949.00
512,3,3049,536728640,167879.00
512,4,2795,536696064,183125.00
512,5,3062,536804992,167190.00
512,6,3176,536704192,161159.00
512,7,5279,536676544,96953.00
512,8,2682,536737280,190855.00
512,9,3361,536724736,152294.00
512,10,2595,536619712,197210.00
512,11,53133,536691456,9632.97
512,12,2555,536844544,200382.00
512,13,3082,536827008,166112.00
512,14,2793,536768832,183281.00
512,15,2544,536777920,201223.00
512,16,46717,536642560,10954.90
512,17,2882,536614720,177570.00
512,18,2822,536852736,181425.00
512,19,48272,536780608,10604.80
512,20,2919,536653504,175332.00
512,21,2768,536689920,184909.00
512,22,55990,536657344,9140.85
512,23,2900,536582720,176457.00
512,24,52541,536655936,9740.87
512,25,48360,536780160,10585.50
512,26,50527,536698496,10129.90
512,27,58727,536618624,8714.21
512,28,2897,536810688,176715.00
512,29,51752,536816576,9892.34
512,30,49386,536656064,10363.20
512,31,53601,536784768,9550.53
512,32,2793,536651968,183241.00
512,33,45182,536812288,11330.70
512,34,2772,536696704,184644.00
512,35,44196,536584192,11578.60
512,36,49362,536854272,10372.00
512,37,1817,347482944,182381.00
512,0,200332,0,
512,0,59,0,
512,0,2059,0,
512,1,97,0,
512,2,81,0,
512,3,77,0,
512,4,286,0,
512,5,8253,0,
512,6,90,0,
512,7,77,0,
512,8,60035,0,
512,9,1524,0,
512,10,87,0,
512,11,7151,0,
512,12,187,0,
512,13,3260,0,
512,14,131,0,
512,15,81,0,
512,16,78,0,
512,17,116,0,
512,18,48687,0,
512,19,87,0,
512,20,129,0,
512,21,50353,0,
512,22,109,0,
512,23,91,0,
512,24,63,0,
512,25,87,0,
512,26,129,0,
512,27,180,0,
512,28,103,0,
512,29,93,0,
512,30,76,0,
512,31,129,0,
512,32,129,0,
512,33,67,0,
512,34,97,0,
512,35,70,0,
512,36,108,0,
512,37,144,0,
8192,0,614031,10287967104,15978.60
8192,1,314970,10290202624,31156.90
8192,2,16990,3028596992,170000.00
8192,0,200392,0,
8192,0,89,0,
8192,0,2125,0,
8192,1,125,0,
8192,2,933,0,
