bufSize,index,duration_us,bytes,throughput_MB_s
1024,0,574782,1073468224,1781.09
1024,1,26701,1073586304,38345.10
1024,2,7134,1073500864,143506.00
1024,3,6237,1073380544,164126.00
1024,4,8172,1073461696,125273.00
1024,5,5718,1073310848,179012.00
1024,6,114320,1073671232,8956.72
1024,7,10846,1073546560,94395.50
1024,8,126110,1073257088,8116.23
1024,9,7264,1073633216,140955.00
1024,10,5448,1073343232,187889.00
1024,11,5185,1073240000,197400.00
1024,12,90514,1073435840,11309.90
1024,13,100191,1073316992,10216.40
1024,14,94296,1073627136,10858.30
1024,15,118238,1073440640,8658.07
1024,16,97591,1073464064,10490.10
1024,17,118543,1073280832,8634.51
1024,18,100803,884337088,8366.51
2048,0,575209,2147054528,3559.73
2048,1,27470,2146881152,74533.10
2048,2,13009,2146772480,157377.00
2048,3,11777,2147217600,173877.00
2048,4,14570,2146890176,140524.00
2048,5,11491,2146583104,178152.00
2048,6,12953,2146752640,158056.00
2048,7,222244,2147067712,9213.31
2048,8,229063,2146744832,8937.70
2048,9,4617,884337088,182666.00
4096,0,540561,4293935552,7575.49
4096,1,32616,4293990016,125554.00
4096,2,22755,4293473088,179942.00
4096,3,24731,4293820096,165578.00
4096,4,19265,3031081664,150047.00
512,0,571216,536777088,896.18
512,1,27778,536691456,18425.70
512,2,3544,536857856,144466.00
512,3,3138,536728640,163118.00
512,4,3001,536696064,170554.00
512,5,11276,536804992,45400.60
512,6,3229,536704192,158514.00
512,7,5326,536676544,96097.40
512,8,62678,536737280,8166.70
512,9,4834,536724736,105888.00
512,10,2657,536619712,192608.00
512,11,60256,536691456,8494.24
512,12,2699,536844544,189691.00
512,13,6304,536827008,81211.60
512,14,2894,536768832,176884.00
512,15,2588,536777920,197802.00
512,16,46749,536642560,10947.40
512,17,2976,536614720,171961.00
512,18,51480,536852736,9945.27
512,19,48278,536780608,10603.50
512,20,3018,536653504,169580.00
512,21,53090,536689920,9640.75
512,22,56029,536657344,9134.49
512,23,2926,536582720,174889.00
512,24,52546,536655936,9739.94
512,25,48419,536780160,10572.60
512,26,50607,536698496,10113.90
512,27,58890,536618624,8690.09
512,28,2989,536810688,171276.00
512,29,51777,536816576,9887.56
512,30,49403,536656064,10359.60
512,31,53674,536784768,9537.54
512,32,2901,536651968,176419.00
512,33,45205,536812288,11324.90
512,34,2836,536696704,180477.00
512,35,44217,536584192,11573.10
512,36,49460,536854272,10351.50
512,37,1916,347482944,172957.00
8192,0,614371,10287967104,15969.80
8192,1,315363,10290202624,31118.10
8192,2,17857,3028596992,161746.00
