source,bufSize,index,duration_us,bytes,throughput_MB_s
server_1,1024,0,669567,1073468224,1528.96
server_1,1024,1,10974,1073586304,93297.9
server_1,1024,2,9348,1073500864,109518.0
server_1,1024,3,12086,1073380544,84697.6
server_1,1024,4,87950,1073461696,11639.9
server_1,1024,5,10533,1073310848,97179.2
server_1,1024,6,11028,1073671232,92848.4
server_1,1024,7,9472,1073546560,108088.0
server_1,1024,8,113786,1073257088,8995.29
server_1,1024,9,102371,1073633216,10001.8
server_1,1024,10,111950,1073343232,9143.55
server_1,1024,11,116569,1073240000,8780.39
server_1,1024,12,111159,1073435840,9209.4
server_1,1024,13,102891,1073316992,9948.34
server_1,1024,14,98736,1073627136,10370.0
server_1,1024,15,111223,1073440640,9204.15
server_1,1024,16,111743,1073464064,9161.51
server_1,1024,17,101395,1073280832,10094.8
server_1,1024,18,108656,884337088,7761.83
server_1,2048,0,802433,2147054528,2551.73
server_1,2048,1,19559,2146881152,104679.0
server_1,2048,2,18650,2146772480,109776.0
server_1,2048,3,217620,2147217600,9409.73
server_1,2048,4,28627,2146890176,71521.1
server_1,2048,5,176872,2146583104,11574.1
server_1,2048,6,225561,2146752640,9076.49
server_1,2048,7,181483,2147067712,11282.6
server_1,2048,8,194263,2146744832,10538.8
server_1,2048,9,202417,884337088,4166.5
server_1,4096,0,1009846,4293935552,4055.09
server_1,4096,1,55942,4293990016,73202.0
server_1,4096,2,408534,4293473088,10022.6
server_1,4096,3,18904,4293820096,216616.0
server_1,4096,4,13936,3031081664,207424.0
server_1,512,0,539613,536777088,948.662
server_1,512,1,29467,536691456,17369.6
server_1,512,2,562123,536857856,910.811
server_1,512,3,5497,536728640,93117.0
server_1,512,4,5428,536696064,94295.0
server_1,512,5,55173,536804992,9278.76
server_1,512,6,6094,536704192,83991.0
server_1,512,7,3227,536676544,158604.0
server_1,512,8,4996,536737280,102456.0
server_1,512,9,58461,536724736,8755.59
server_1,512,10,51859,536619712,9868.31
server_1,512,11,44502,536691456,11501.3
server_1,512,12,60765,536844544,8425.49
server_1,512,13,49034,536827008,10440.9
server_1,512,14,50581,536768832,10120.5
server_1,512,15,51029,536777920,10031.8
server_1,512,16,45061,536642560,11357.5
server_1,512,17,52143,536614720,9814.47
server_1,512,18,50850,536852736,10068.5
server_1,512,19,49333,536780608,10376.7
server_1,512,20,53964,536653504,9483.96
server_1,512,21,49334,536689920,10374.7
server_1,512,22,52677,536657344,9715.75
server_1,512,23,50723,536582720,10088.6
server_1,512,24,51868,536655936,9867.26
server_1,512,25,50156,536780160,10206.4
server_1,512,26,47458,536698496,10785.0
server_1,512,27,48384,536618624,10577.0
server_1,512,28,50289,536810688,10180.0
server_1,512,29,51095,536816576,10019.5
server_1,512,30,47200,536656064,10843.1
server_1,512,31,49242,536784768,10396.0
server_1,512,32,54274,536651968,9429.77
server_1,512,33,49909,536812288,10257.6
server_1,512,34,57258,536696704,8939.08
server_1,512,35,54198,536584192,9441.8
server_1,512,36,47186,536854272,10850.3
server_1,512,37,1984,347482944,167029.0
server_1,8192,0,857964,10287967104,11435.6
server_1,8192,1,357723,10290202624,27433.2
server_1,8192,2,18792,3028596992,153698.0
server_2,1024,0,572565,1073468224,1787.99
server_2,1024,1,29505,1073586304,34701.0
server_2,1024,2,641413,1073500864,1596.12
server_2,1024,3,14655,1073380544,69850.3
server_2,1024,4,4982,1073461696,205486.0
server_2,1024,5,95057,1073310848,10768.2
server_2,1024,6,10528,1073671232,97258.0
server_2,1024,7,11031,1073546560,92812.4
server_2,1024,8,9456,1073257088,108242.0
server_2,1024,9,5286,1073633216,193700.0
server_2,1024,10,108560,1073343232,9429.07
server_2,1024,11,102376,1073240000,9997.67
server_2,1024,12,111950,1073435840,9144.33
server_2,1024,13,116575,1073316992,8780.57
server_2,1024,14,111184,1073627136,9208.97
server_2,1024,15,102903,1073440640,9948.33
server_2,1024,16,98741,1073464064,10367.9
server_2,1024,17,111246,1073280832,9200.87
server_2,1024,18,111728,884337088,7548.42
server_2,2048,0,582872,2147054528,3512.93
server_2,2048,1,28458,2146881152,71945.5
server_2,2048,2,774927,2146772480,2641.95
server_2,2048,3,19839,2147217600,103218.0
server_2,2048,4,226137,2146890176,9053.95
server_2,2048,5,10356,2146583104,197677.0
server_2,2048,6,18761,2146752640,109125.0
server_2,2048,7,176889,2147067712,11575.6
server_2,2048,8,225560,2146744832,9076.5
server_2,2048,9,181497,884337088,4646.74
server_2,4096,0,588196,4293935552,6961.99
server_2,4096,1,30504,4293990016,134247.0
server_2,4096,2,980975,4293473088,4173.99
server_2,4096,3,37386,4293820096,109530.0
server_2,4096,4,13179,3031081664,219339.0
server_2,512,0,589130,536777088,868.926
server_2,512,1,7299,536691456,70123.1
server_2,512,2,5445,536857856,94028.9
server_2,512,3,11078,536728640,46205.5
server_2,512,4,46831,536696064,10929.4
server_2,512,5,6086,536804992,84117.2
server_2,512,6,8192,536704192,62480.6
server_2,512,7,3008,536676544,170151.0
server_2,512,8,55509,536737280,9221.43
server_2,512,9,51858,536724736,9870.43
server_2,512,10,44460,536619712,11510.6
server_2,512,11,60870,536691456,8408.56
server_2,512,12,49001,536844544,10448.3
server_2,512,13,50607,536827008,10116.4
server_2,512,14,51006,536768832,10036.1
server_2,512,15,45063,536777920,11359.9
server_2,512,16,52148,536642560,9814.03
server_2,512,17,50861,536614720,10061.8
server_2,512,18,49303,536852736,10384.4
server_2,512,19,54021,536780608,9476.2
server_2,512,20,49271,536653504,10387.3
server_2,512,21,52677,536689920,9716.34
server_2,512,22,50754,536657344,10083.9
server_2,512,23,51863,536582720,9866.86
server_2,512,24,50159,536655936,10203.5
server_2,512,25,47446,536780160,10789.4
server_2,512,26,48413,536698496,10572.3
server_2,512,27,50242,536618624,10185.9
server_2,512,28,51163,536810688,10006.1
server_2,512,29,47178,536816576,10851.4
server_2,512,30,49215,536656064,10399.2
server_2,512,31,54280,536784768,9431.06
server_2,512,32,49912,536651968,10253.9
server_2,512,33,57266,536812288,8939.76
server_2,512,34,54193,536696704,9444.65
server_2,512,35,47168,536584192,10849.0
server_2,512,36,62625,536854272,8175.4
server_2,512,37,2048,347482944,161809.0
server_2,8192,0,1132117,10287967104,8666.39
server_2,8192,1,595829,10290202624,16470.3
server_2,8192,2,56313,3028596992,51290.0
client,1024,0,669205,1073468224,1529.78
client,1024,1,5462,1073586304,187450.0
client,1024,2,9303,1073500864,110047.0
client,1024,3,11722,1073380544,87327.7
client,1024,4,87724,1073461696,11669.9
client,1024,5,10347,1073310848,98926.2
client,1024,6,9598,1073671232,106682.0
client,1024,7,9261,1073546560,110551.0
client,1024,8,113543,1073257088,9014.54
client,1024,9,102224,1073633216,10016.2
client,1024,10,111834,1073343232,9153.03
client,1024,11,116503,1073240000,8785.37
client,1024,12,111066,1073435840,9217.12
client,1024,13,102758,1073316992,9961.22
client,1024,14,98602,1073627136,10384.1
client,1024,15,111058,1073440640,9217.82
client,1024,16,111613,1073464064,9172.19
client,1024,17,101187,1073280832,10115.5
client,1024,18,108554,884337088,7769.12
client,1024,0,572022,1073468224,1789.68
client,1024,1,29466,1073586304,34746.9
client,1024,2,6443,1073500864,158897.0
client,1024,3,14609,1073380544,70070.2
client,1024,4,4700,1073461696,217815.0
client,1024,5,88013,1073310848,11630.0
client,1024,6,10437,1073671232,98106.0
client,1024,7,9661,1073546560,105974.0
client,1024,8,9398,1073257088,108910.0
client,1024,9,5228,1073633216,195849.0
client,1024,10,108516,1073343232,9432.89
client,1024,11,102080,1073240000,10026.7
client,1024,12,111676,1073435840,9166.77
client,1024,13,116417,1073316992,8792.49
client,1024,14,110965,1073627136,9227.15
client,1024,15,102656,1073440640,9972.26
client,1024,16,98487,1073464064,10394.6
client,1024,17,110913,1073280832,9228.5
client,1024,18,111527,884337088,7562.02
client,2048,0,580639,2147054528,3526.44
client,2048,1,28418,2146881152,72046.8
client,2048,2,10253,2146772480,199680.0
client,2048,3,19348,2147217600,105838.0
client,2048,4,217302,2146890176,9422.07
client,2048,5,10136,2146583104,201967.0
client,2048,6,18682,2146752640,109587.0
client,2048,7,176533,2147067712,11599.0
client,2048,8,225300,2146744832,9086.97
client,2048,9,181166,884337088,4655.23
client,2048,0,802309,2147054528,2552.12
client,2048,1,10307,2146881152,198644.0
client,2048,2,18606,2146772480,110036.0
client,2048,3,217198,2147217600,9428.02
client,2048,4,18818,2146890176,108802.0
client,2048,5,176680,2146583104,11586.7
client,2048,6,225422,2146752640,9082.09
client,2048,7,181344,2147067712,11291.3
client,2048,8,194081,2146744832,10548.7
client,2048,9,202172,884337088,4171.54
client,4096,0,587705,4293935552,6967.81
client,4096,1,30256,4293990016,135347.0
client,4096,2,18978,4293473088,215754.0
client,4096,3,37304,4293820096,109771.0
client,4096,4,13118,3031081664,220359.0
client,4096,0,1009561,4293935552,4056.23
client,4096,1,37543,4293990016,109077.0
client,4096,2,395352,4293473088,10356.8
client,4096,3,18512,4293820096,221203.0
client,4096,4,13870,3031081664,208411.0
client,512,0,539163,536777088,949.454
client,512,1,29276,536691456,17482.9
client,512,2,4902,536857856,104445.0
client,512,3,5406,536728640,94684.5
client,512,4,5005,536696064,102264.0
client,512,5,46977,536804992,10897.6
client,512,6,6011,536704192,85150.7
client,512,7,2827,536676544,181045.0
client,512,8,4919,536737280,104060.0
client,512,9,58123,536724736,8806.51
client,512,10,51760,536619712,9887.18
client,512,11,44367,536691456,11536.3
client,512,12,60731,536844544,8430.21
client,512,13,48892,536827008,10471.2
client,512,14,50364,536768832,10164.1
client,512,15,50863,536777920,10064.5
client,512,16,44924,536642560,11392.2
client,512,17,52003,536614720,9840.89
client,512,18,50705,536852736,10097.3
client,512,19,49105,536780608,10424.9
client,512,20,53896,536653504,9495.93
client,512,21,49246,536689920,10393.3
client,512,22,52604,536657344,9729.23
client,512,23,50647,536582720,10103.8
client,512,24,51781,536655936,9883.84
client,512,25,50060,536780160,10226.0
client,512,26,47345,536698496,10810.8
client,512,27,48306,536618624,10594.1
client,512,28,50131,536810688,10212.1
client,512,29,51035,536816576,10031.3
client,512,30,47117,536656064,10862.2
client,512,31,49106,536784768,10424.8
client,512,32,54167,536651968,9448.39
client,512,33,49819,536812288,10276.1
client,512,34,57165,536696704,8953.62
client,512,35,54089,536584192,9460.82
client,512,36,47070,536854272,10877.1
client,512,37,1913,347482944,173228.0
client,512,0,588994,536777088,869.127
client,512,1,2918,536691456,175404.0
client,512,2,5388,536857856,95023.7
client,512,3,10965,536728640,46681.7
client,512,4,46759,536696064,10946.2
client,512,5,5928,536804992,86359.2
client,512,6,7682,536704192,66628.6
client,512,7,2862,536676544,178831.0
client,512,8,55371,536737280,9244.42
client,512,9,51671,536724736,9906.15
client,512,10,44259,536619712,11562.9
client,512,11,60664,536691456,8437.11
client,512,12,48776,536844544,10496.5
client,512,13,50263,536827008,10185.6
client,512,14,50758,536768832,10085.2
client,512,15,44862,536777920,11410.8
client,512,16,51868,536642560,9867.01
client,512,17,50640,536614720,10105.8
client,512,18,48956,536852736,10458.0
client,512,19,53834,536780608,9509.12
client,512,20,49146,536653504,10413.7
client,512,21,52519,536689920,9745.57
client,512,22,50575,536657344,10119.6
client,512,23,51733,536582720,9891.66
client,512,24,49979,536655936,10240.2
client,512,25,47259,536780160,10832.1
client,512,26,48270,536698496,10603.6
client,512,27,50020,536618624,10231.1
client,512,28,50947,536810688,10048.5
client,512,29,47079,536816576,10874.2
client,512,30,49034,536656064,10437.6
client,512,31,54119,536784768,9459.12
client,512,32,49752,536651968,10286.8
client,512,33,57108,536812288,8964.49
client,512,34,53958,536696704,9485.78
client,512,35,47015,536584192,10884.3
client,512,36,62444,536854272,8199.09
client,512,37,1965,347482944,168644.0
client,8192,0,1131606,10287967104,8670.31
client,8192,1,595782,10290202624,16471.6
client,8192,2,26718,3028596992,108103.0
client,8192,0,857787,10287967104,11438.0
client,8192,1,351833,10290202624,27892.5
client,8192,2,18745,3028596992,154083.0
